final_cost=46 | time=0.0514988899230957 | route=[15, 3, 4, 6, 5, 14, 9, 1, 10, 13, 2, 0, 11, 8, 16, 7, 12] | tabu_value=3 | iter_number=50
final_cost=41 | time=0.10649585723876953 | route=[7, 16, 0, 11, 2, 13, 10, 1, 12, 9, 5, 4, 3, 14, 15, 6, 8] | tabu_value=3 | iter_number=100
final_cost=41 | time=0.1099998950958252 | route=[3, 4, 14, 15, 9, 12, 10, 1, 13, 2, 11, 0, 7, 8, 16, 5, 6] | tabu_value=3 | iter_number=100
final_cost=52 | time=0.11099720001220703 | route=[4, 14, 1, 2, 13, 9, 10, 12, 0, 11, 7, 16, 8, 3, 15, 5, 6] | tabu_value=3 | iter_number=100
final_cost=91 | time=0.11302995681762695 | route=[3, 4, 15, 11, 2, 13, 10, 9, 1, 12, 5, 14, 6, 8, 7, 16, 0] | tabu_value=3 | iter_number=100
final_cost=76 | time=0.1080331802368164 | route=[4, 3, 15, 6, 5, 14, 7, 16, 8, 11, 0, 1, 10, 2, 13, 12, 9] | tabu_value=3 | iter_number=100
final_cost=57 | time=0.1445016860961914 | route=[16, 8, 7, 9, 2, 13, 11, 0, 6, 4, 3, 14, 15, 1, 12, 10, 5] | tabu_value=3 | iter_number=100
final_cost=56 | time=0.10949897766113281 | route=[3, 4, 15, 9, 2, 13, 10, 12, 1, 11, 0, 16, 7, 6, 5, 14, 8] | tabu_value=3 | iter_number=100
final_cost=68 | time=0.11599993705749512 | route=[13, 2, 12, 1, 10, 16, 4, 3, 15, 6, 14, 5, 9, 11, 0, 7, 8] | tabu_value=3 | iter_number=100
final_cost=53 | time=0.12248873710632324 | route=[1, 12, 10, 9, 13, 2, 0, 5, 6, 15, 16, 8, 7, 4, 3, 14, 11] | tabu_value=3 | iter_number=100
final_cost=84 | time=0.10799884796142578 | route=[15, 3, 4, 14, 5, 6, 10, 1, 12, 0, 11, 7, 16, 8, 9, 13, 2] | tabu_value=3 | iter_number=100
final_cost=55 | time=0.10049223899841309 | route=[15, 8, 7, 16, 11, 0, 5, 4, 3, 6, 10, 9, 2, 13, 12, 1, 14] | tabu_value=3 | iter_number=100
final_cost=47 | time=0.10500049591064453 | route=[7, 16, 1, 2, 13, 0, 11, 9, 10, 12, 8, 3, 4, 6, 14, 15, 5] | tabu_value=3 | iter_number=100
final_cost=58 | time=0.10649824142456055 | route=[7, 16, 11, 0, 14, 4, 3, 8, 10, 1, 13, 2, 9, 12, 6, 15, 5] | tabu_value=3 | iter_number=100
final_cost=44 | time=0.10898828506469727 | route=[7, 8, 16, 9, 1, 12, 2, 13, 10, 6, 5, 14, 3, 4, 15, 11, 0] | tabu_value=3 | iter_number=100
final_cost=102 | time=0.10800862312316895 | route=[3, 7, 16, 8, 10, 2, 13, 1, 12, 15, 4, 5, 6, 14, 0, 11, 9] | tabu_value=3 | iter_number=100
final_cost=57 | time=0.10796570777893066 | route=[0, 6, 3, 4, 5, 11, 2, 13, 1, 10, 12, 9, 16, 7, 8, 15, 14] | tabu_value=3 | iter_number=100
final_cost=53 | time=0.10596489906311035 | route=[7, 16, 8, 4, 3, 14, 10, 2, 13, 1, 9, 12, 6, 15, 5, 0, 11] | tabu_value=3 | iter_number=100
final_cost=51 | time=0.10598158836364746 | route=[6, 14, 7, 16, 8, 3, 4, 15, 11, 0, 1, 10, 12, 13, 2, 9, 5] | tabu_value=3 | iter_number=100
final_cost=50 | time=0.1054990291595459 | route=[16, 10, 2, 13, 1, 9, 14, 6, 5, 15, 4, 3, 8, 7, 12, 0, 11] | tabu_value=3 | iter_number=100
final_cost=53 | time=0.10050654411315918 | route=[11, 0, 7, 8, 16, 3, 4, 15, 12, 1, 2, 13, 9, 10, 14, 6, 5] | tabu_value=3 | iter_number=100
final_cost=63 | time=0.10602593421936035 | route=[13, 12, 6, 4, 3, 14, 9, 1, 2, 10, 7, 8, 16, 5, 15, 11, 0] | tabu_value=3 | iter_number=100
final_cost=86 | time=0.10097599029541016 | route=[2, 13, 1, 11, 0, 7, 8, 16, 12, 10, 9, 6, 15, 14, 4, 3, 5] | tabu_value=3 | iter_number=100
final_cost=52 | time=0.1040351390838623 | route=[7, 8, 16, 14, 15, 0, 11, 2, 13, 9, 12, 1, 10, 6, 4, 3, 5] | tabu_value=3 | iter_number=100
final_cost=102 | time=0.10248780250549316 | route=[10, 0, 11, 7, 8, 16, 4, 15, 14, 6, 12, 1, 13, 2, 9, 5, 3] | tabu_value=3 | iter_number=100
final_cost=73 | time=0.10250043869018555 | route=[2, 7, 3, 4, 5, 14, 15, 6, 12, 10, 1, 8, 16, 9, 13, 11, 0] | tabu_value=3 | iter_number=100
final_cost=58 | time=0.10253334045410156 | route=[9, 14, 4, 3, 6, 0, 11, 1, 8, 7, 16, 15, 5, 10, 2, 13, 12] | tabu_value=3 | iter_number=100
final_cost=72 | time=0.09996557235717773 | route=[10, 2, 13, 1, 8, 4, 3, 16, 7, 0, 11, 14, 6, 9, 12, 15, 5] | tabu_value=3 | iter_number=100
final_cost=60 | time=0.10700726509094238 | route=[11, 6, 4, 3, 15, 0, 2, 13, 12, 1, 9, 14, 5, 7, 8, 16, 10] | tabu_value=3 | iter_number=100
final_cost=40 | time=0.10149860382080078 | route=[1, 2, 13, 9, 16, 8, 7, 3, 4, 5, 14, 15, 6, 0, 11, 12, 10] | tabu_value=3 | iter_number=100
final_cost=42 | time=0.10547566413879395 | route=[16, 4, 3, 5, 14, 15, 6, 1, 10, 9, 11, 0, 13, 2, 12, 7, 8] | tabu_value=3 | iter_number=100
final_cost=56 | time=0.10800313949584961 | route=[0, 11, 5, 15, 9, 13, 2, 1, 10, 8, 16, 7, 3, 4, 6, 14, 12] | tabu_value=3 | iter_number=100
final_cost=58 | time=0.11850094795227051 | route=[7, 8, 16, 5, 14, 3, 4, 6, 15, 0, 11, 12, 1, 9, 10, 2, 13] | tabu_value=3 | iter_number=100
final_cost=60 | time=0.10849928855895996 | route=[5, 14, 4, 3, 8, 12, 2, 13, 11, 0, 6, 15, 10, 1, 9, 7, 16] | tabu_value=3 | iter_number=100
final_cost=53 | time=0.1064918041229248 | route=[5, 14, 11, 0, 15, 6, 3, 4, 8, 16, 7, 12, 10, 2, 13, 1, 9] | tabu_value=3 | iter_number=100
final_cost=80 | time=0.11196613311767578 | route=[3, 14, 12, 2, 13, 10, 1, 15, 5, 6, 0, 11, 9, 8, 16, 4, 7] | tabu_value=3 | iter_number=100
final_cost=43 | time=0.10651135444641113 | route=[1, 9, 13, 2, 12, 8, 7, 16, 3, 4, 14, 15, 5, 6, 10, 11, 0] | tabu_value=3 | iter_number=100
final_cost=125 | time=0.10414338111877441 | route=[2, 13, 1, 0, 11, 16, 7, 8, 4, 15, 5, 14, 9, 10, 12, 6, 3] | tabu_value=3 | iter_number=100
final_cost=60 | time=0.10649847984313965 | route=[8, 3, 4, 5, 14, 6, 1, 12, 9, 16, 7, 0, 11, 2, 13, 10, 15] | tabu_value=3 | iter_number=100
final_cost=42 | time=0.11549830436706543 | route=[1, 10, 12, 0, 11, 2, 13, 9, 16, 8, 7, 3, 4, 15, 5, 14, 6] | tabu_value=3 | iter_number=100
final_cost=56 | time=0.10551285743713379 | route=[14, 6, 4, 3, 8, 16, 7, 11, 0, 1, 10, 5, 15, 12, 13, 2, 9] | tabu_value=3 | iter_number=100
final_cost=50 | time=0.10999798774719238 | route=[15, 14, 8, 16, 7, 3, 4, 6, 11, 0, 2, 13, 12, 10, 9, 1, 5] | tabu_value=3 | iter_number=100
final_cost=118 | time=0.10253381729125977 | route=[3, 4, 14, 6, 1, 10, 12, 2, 11, 0, 8, 16, 7, 5, 15, 9, 13] | tabu_value=3 | iter_number=100
final_cost=56 | time=0.10701441764831543 | route=[5, 14, 1, 12, 2, 13, 10, 15, 6, 3, 4, 16, 8, 7, 0, 11, 9] | tabu_value=3 | iter_number=100
final_cost=67 | time=0.10652852058410645 | route=[3, 14, 1, 12, 9, 6, 5, 4, 15, 10, 2, 13, 0, 11, 8, 7, 16] | tabu_value=3 | iter_number=100
final_cost=50 | time=0.10702276229858398 | route=[3, 4, 14, 12, 10, 1, 9, 13, 2, 0, 11, 15, 6, 5, 7, 16, 8] | tabu_value=3 | iter_number=100
final_cost=53 | time=0.10850310325622559 | route=[16, 8, 7, 3, 4, 14, 15, 1, 2, 13, 0, 11, 12, 10, 9, 6, 5] | tabu_value=3 | iter_number=100
final_cost=58 | time=0.1049644947052002 | route=[8, 7, 4, 3, 16, 9, 10, 12, 13, 2, 11, 0, 15, 14, 5, 6, 1] | tabu_value=3 | iter_number=100
final_cost=72 | time=0.10150647163391113 | route=[2, 13, 1, 14, 4, 3, 5, 15, 6, 9, 12, 10, 7, 8, 11, 0, 16] | tabu_value=3 | iter_number=100
final_cost=91 | time=0.10903406143188477 | route=[10, 6, 5, 15, 16, 8, 7, 11, 0, 13, 2, 9, 12, 1, 14, 3, 4] | tabu_value=3 | iter_number=100
final_cost=61 | time=0.10899019241333008 | route=[14, 15, 12, 13, 2, 1, 6, 3, 4, 7, 11, 0, 9, 10, 16, 8, 5] | tabu_value=3 | iter_number=100
final_cost=50 | time=0.32103490829467773 | route=[8, 16, 7, 3, 4, 6, 11, 0, 13, 2, 12, 1, 9, 10, 15, 5, 14] | tabu_value=3 | iter_number=300
final_cost=40 | time=0.3021245002746582 | route=[6, 15, 11, 0, 9, 10, 2, 13, 12, 1, 8, 16, 7, 3, 4, 5, 14] | tabu_value=3 | iter_number=300
final_cost=67 | time=0.32445645332336426 | route=[8, 4, 3, 5, 12, 9, 1, 16, 7, 0, 2, 13, 11, 6, 14, 15, 10] | tabu_value=3 | iter_number=300
final_cost=46 | time=0.3140223026275635 | route=[5, 15, 14, 10, 9, 1, 7, 8, 16, 12, 2, 13, 11, 0, 6, 3, 4] | tabu_value=3 | iter_number=300
final_cost=40 | time=0.3074932098388672 | route=[14, 15, 5, 6, 4, 3, 16, 7, 8, 11, 0, 10, 1, 12, 13, 2, 9] | tabu_value=3 | iter_number=300
